"","tract","severity_average","DP02_0011E","watt_average","DP02_0015E","DP02_0037E","DP02_0038E","DP02_0053E","DP02_0060E","DP02_0061E","DP02_0062E","DP02_0065E","DP02_0066E","DP02_0068E","DP02_0071E","DP02_0072E","DP02_0074E","DP02_0095E","DP02_0114E","DP02_0115E","DP02_0153E","DP03_0001E","DP03_0009E","DP03_0028E","DP03_0030E","DP03_0052E","DP03_0054E","DP03_0055E","DP03_0062E","DP03_0072E","DP03_0074E","DP03_0095E","DP03_0099E","DP03_0119E","DP04_0080E","DP04_0136E","DP05_0033E","DP05_0037E","DP05_0038E","DP05_0044E","DP05_0070E"
"1",100100,1.195578231,-888888888,531.6904762,204,46,5,484,23,26,348,609,171,780,2194,332,47,332,327,116,873,1980,-888888888,199,57,58,156,110,54375,17,143,2194,270,-888888888,278,716,2194,1884,86,18,2194
"2",100200,1.203208556,-888888888,111.3392857,189,12,0,272,7,0,103,434,375,809,1467,67,0,178,223,15,536,1316,-888888888,99,17,5,19,21,123125,6,0,1467,55,-888888888,311,232,1467,1328,0,46,1467
"3",100306,1.04789272,-888888888,119.5744681,190,119,92,1814,311,491,616,781,169,950,6031,529,13,2081,3446,1313,1913,4470,-888888888,656,498,102,108,301,48757,9,167,6031,1487,-888888888,779,1163,6118,2067,440,373,6118
"4",100307,1.179775281,-888888888,85.44736842,230,23,18,1693,287,298,999,241,197,438,4898,415,87,1300,2156,552,1247,3375,-888888888,454,242,88,0,152,75750,13,97,4898,666,-888888888,1046,185,4898,2095,155,578,4898
"5",100308,1.226179875,-888888888,97.94594595,182,27,0,1153,124,273,964,182,28,210,4043,339,9,1678,2031,1133,1166,2875,-888888888,428,198,87,121,77,51328,0,141,4043,1407,-888888888,446,816,4043,1721,407,251,4043
"6",100500,1.25896861,-888888888,126.6490486,486,99,52,2236,913,274,825,610,330,940,6575,648,43,2045,3207,1648,2112,4990,-888888888,885,386,79,280,231,56159,72,236,6575,2213,-888888888,1155,1022,6575,2644,107,686,6575
"7",100600,1.217821782,-888888888,177.1590909,657,128,29,1476,795,511,1032,714,489,1203,6927,794,84,1526,2260,1232,2454,5513,-888888888,528,697,435,125,246,49633,95,530,6927,1428,-888888888,1749,689,6927,4229,245,339,6927
"8",100700,1.139717425,-888888888,184.8070175,212,53,0,679,30,68,363,896,505,1401,3115,349,0,249,269,106,1551,2680,-888888888,229,130,53,135,178,62292,45,89,3115,365,-888888888,702,819,3115,2861,101,11,3115
"9",100800,1.082039911,-888888888,2868.86087,514,21,0,505,27,52,372,695,464,1159,2516,226,9,406,595,277,1409,2419,-888888888,151,47,91,86,154,60116,12,140,2516,289,-888888888,310,1072,2516,1994,47,175,2516
"10",101000,1.129032258,-888888888,56.02564103,408,0,0,706,29,12,153,789,857,1646,3000,209,10,83,213,13,1400,2625,-888888888,174,120,27,79,126,103571,8,50,3000,202,-888888888,993,443,3025,2853,21,28,3025
"11",101101,1.136597938,-888888888,87.05882353,160,37,0,422,0,74,216,635,358,993,2171,355,0,326,413,77,1117,1974,-888888888,157,89,42,147,162,56313,7,22,2171,186,-888888888,277,887,2171,1821,150,47,2171
"12",101102,1.092807425,-888888888,132.0149254,500,40,0,857,0,16,209,928,919,1847,3841,532,0,482,454,149,1917,3474,-888888888,143,33,108,130,233,62019,5,44,3841,58,-888888888,493,1434,3841,3188,3,458,3841
"13",101200,1.207943925,-888888888,71.80615385,476,52,0,742,0,178,120,869,1134,2003,4046,406,0,494,441,234,2262,3531,-888888888,431,139,41,168,288,57679,24,61,4046,15,-888888888,1165,1038,4046,3524,46,218,4046
